"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.03472293007426e-25,0.650530713311675,0.29,0.22,4.37767437913057e-21,"PHLDB1"
6.36011371040209e-26,0.618535670408249,0.274,0.202,6.90072337578626e-22,"DOCK9"
1.13468835382763e-45,0.594068175667766,0.431,0.323,1.23113686390298e-41,"APLP1"
2.79188138384971e-60,0.592912194240978,0.456,0.321,3.02919130147693e-56,"CLDND1"
6.79631016447124e-27,0.591542954960443,0.295,0.218,7.37399652845129e-23,"SEPP1"
4.62242088489695e-26,0.583696452281868,0.258,0.184,5.01532666011319e-22,"ABCA8"
2.70039751616313e-55,0.577467336964618,0.496,0.373,2.92993130503699e-51,"PEX5L"
1.57691709821448e-23,0.57228017536315,0.335,0.267,1.71095505156271e-19,"DIP2C"
5.22721608571183e-33,0.570048347849066,0.381,0.293,5.67152945299734e-29,"CERCAM"
2.57041560469202e-82,0.56096794804066,0.635,0.491,2.78890093109084e-78,"EDIL3"
2.94065944402869e-19,0.548971905017415,0.297,0.238,3.19061549677113e-15,"DDX5"
1.11246180713772e-24,0.544931631334694,0.261,0.189,1.20702106074443e-20,"FAM107B"
3.31467229305627e-38,0.544829560062792,0.498,0.41,3.59641943796605e-34,"TMEM144"
6.78024559694062e-37,0.533637272882197,0.439,0.346,7.35656647268057e-33,"PTMA"
5.38207012808002e-20,0.524125374425777,0.313,0.251,5.83954608896682e-16,"CDK19"
4.42418256986872e-22,0.498443624572411,0.487,0.447,4.80023808830756e-18,"DDX17"
1.5259947805481e-17,0.48873262341405,0.339,0.279,1.65570433689469e-13,"DPYD"
1.05728469756041e-14,0.483319994748445,0.274,0.222,1.14715389685304e-10,"HTRA1"
2.66762337700058e-56,0.473928528263606,0.695,0.627,2.89437136404563e-52,"GPM6B"
6.30798253866385e-11,0.448287087807519,0.296,0.255,6.84416105445028e-07,"EIF1"
8.8685022147004e-18,0.442408907903009,0.336,0.276,9.62232490294993e-14,"DNAJC6"
5.19891565079752e-42,0.435696364540134,0.518,0.405,5.64082348111531e-38,"RNF220"
5.88531458830249e-15,0.415390045799466,0.343,0.289,6.3855663283082e-11,"TUBA1A"
6.77671194129229e-31,0.409147671152856,0.456,0.366,7.35273245630214e-27,"MAP7"
5.30795951010013e-14,0.404345882094445,0.297,0.246,5.75913606845864e-10,"UBC"
5.08177257710532e-13,0.39776768850477,0.347,0.299,5.51372324615927e-09,"KIAA0930"
9.5743216044837e-85,0.387805882381057,0.723,0.523,1.03881389408648e-80,"MBP"
1.12833425945961e-11,0.380351095093226,0.287,0.239,1.22424267151368e-07,"KIRREL3"
1.51275498932298e-14,0.379608720182395,0.254,0.198,1.64133916341543e-10,"MAG"
5.59063451445382e-13,0.37767262772971,0.282,0.229,6.0658384481824e-09,"SLCO1A2"
4.8877501977144e-11,0.373715928139365,0.404,0.371,5.30320896452012e-07,"ARHGAP21"
4.08672095355932e-22,0.364922959698255,0.403,0.325,4.43409223461186e-18,"TF"
7.74639289426566e-09,0.359963635529589,0.332,0.296,8.40483629027824e-05,"GTF2I"
8.30647146806093e-09,0.359481373732209,0.442,0.426,9.01252154284611e-05,"CCDC88A"
7.0857357546148e-06,0.341719256253525,0.291,0.266,0.0768802329375706,"ANKRD12"
2.07578482267269e-08,0.337337174974552,0.325,0.291,0.000225222653259987,"HNRNPDL"
1.08820541478881e-06,0.336069170911993,0.349,0.323,0.0118070287504586,"PDE8A"
8.12073534671958e-11,0.328631890140095,0.438,0.405,8.81099785119075e-07,"ARAP2"
4.13703789818218e-06,0.325528667069533,0.321,0.296,0.0448868611952766,"PICALM"
